曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.4844,1,17,17Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.4542,1,16,16Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.4034,1,15,15Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3442,1,14,14Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.2807,1,13,13Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.2045,1,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.1382,1,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.0841,1,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.0383,1,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.027,1,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.9822,1,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.9138,1,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.8481,1,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.7697,1,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.7712,1,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.6975,1,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.7086,1,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.5446,2,18,18Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.5412,2,17,17Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.533,2,16,16Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.5041,2,15,15Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.4532,2,14,14Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3933,2,13,13Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.3285,2,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.2497,2,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.1813,2,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.1259,2,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.0796,2,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.0726,2,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,2.0279,2,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.9548,2,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.8831,2,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.7901,2,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.8025,2,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-06,0,1.6864,2,1,1Y
